Nom de la recette,Catégorie,Titre du livre,Page,N°
Carré d‘agneau aux épices et son choufleur à la noisette,Viande,Cuisinez comme les chefs,122,
"Chapon farci aux verts, bisque de crevette",Viande,Cuisinez comme les chefs,160,
"Comme un tagine, gigot d‘agneau de lait confit, boulgour et fruits secs",Viande,Cuisinez comme les chefs,42,
"Crème brûlée de foie gras, espumas de pomme verte",Viande,Cuisinez comme les chefs,10,
Fricassée de volaille aux tomates oubliées,Viande,Cuisinez comme les chefs,104,
"Poitrine de pigeon au chou vert et au foie gras, mousseline de céleri et échalotes confites",Viande,Cuisinez comme les chefs,55,
Sandwich de foie gras et marmelade de figues,Viande,Cuisinez comme les chefs,62,
"Suprêmes de poularde des Landes à la vapeur de verveine, navet de Nancy et râpé de radis noir",Viande,Cuisinez comme les chefs,92,
"Veau aux noisettes, pomme de terre et écume de bière",Viande,Cuisinez comme les chefs,134,
"Volaille jaune des Landes façon Pojarski, truffes noires et légumes sautés à cru",Viande,Cuisinez comme les chefs,147,
Boeuf en papillotes,Viande,Equilibre et saveurs,28,
Dinde au Pak choï et champignons,Viande,Equilibre et saveurs,34,
Filets de poulet marinés juile olive-citron vert-basilic,Viande,Equilibre et saveurs,32,
Foie de génisse et sa purée de courgette,Viande,Equilibre et saveurs,30,
Lapin vapeur et purée céleri-pomme,Viande,Equilibre et saveurs,26,
Poulet à la pékinoise,Viande,Equilibre et saveurs,33,
Poulet yassa,Viande,Equilibre et saveurs,33,
"Roulé d‘agneau aux herbes aromatiques, patates douces et carottes",Viande,Equilibre et saveurs,26,
Veau au citron,Viande,Equilibre et saveurs,24,
Veau aux légumes oubliés,Viande,Equilibre et saveurs,25,
Filet de dinde en croûte sauce forestière,Viande,Jour de Fetes,18,
Magret de canard et sa sauce vin et chocolat,Viande,Jour de Fetes,16,
Brochettes de foie au riz et poivrons,Viande,La cuisine à toute vapeur,116,
Canellonis et leur sauce aux légumes,Viande,La cuisine à toute vapeur,102,
Choucroute fruitée à l‘ananas,Viande,La cuisine à toute vapeur,136,
Couronne de viande à la paysanne,Viande,La cuisine à toute vapeur,100,
Couscous marocain safrané,Viande,La cuisine à toute vapeur,126,
Dinde au lard et aux pommes de terre,Viande,La cuisine à toute vapeur,122,
Filet mignon à l‘ananas et ses petits légumes,Viande,La cuisine à toute vapeur,104,
Lapin à la méditérranéenne,Viande,La cuisine à toute vapeur,124,
Pain de viande de volaille et de veau allégé,Viande,La cuisine à toute vapeur,108,
Poulet citronné à la sauce céleri,Viande,La cuisine à toute vapeur,114,
Poulet mariné et ses légumes du sud,Viande,La cuisine à toute vapeur,112,
Raviolis à la Ricotta et mijoté d‘agneau,Viande,La cuisine à toute vapeur,128,
Roulé de dinde à la sauce aigre-douce,Viande,La cuisine à toute vapeur,120,
Salade de poulet,Viande,La cuisine à toute vapeur,110,
Suprêmes de poulet farcis et petits légumes,Viande,La cuisine à toute vapeur,118,
Blanc de dinde à l'infusion de verveine,Viande,La forme Thermomix,64,
citronnée de veau à la menthe,Viande,La forme Thermomix,58,
Escalopes de poulet aux agrumes,Viande,La forme Thermomix,60,
Escalopes de poulet en sauce,Viande,La forme Thermomix,61,
Escalopes de veau en surprise,Viande,La forme Thermomix,60,
Farce au foie,Viande,La forme Thermomix,56,
Filet mignon à la moutarde,Viande,La forme Thermomix,56,
Flôti de porc à la farce dc légumes,Viande,La forme Thermomix,64,
Gigot d'agneau et sa farce,Viande,La forme Thermomix,56,
Gratin de porc aux poireaux,Viande,La forme Thermomix,62,
Pain de veau aux champignons,Viande,La forme Thermomix,58,
